year,home,away,home_score,away_score,model,p_home_win,p_draw,p_away_win,brier,log_loss,correct
2010,Australia,Serbia,2,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Australia,Serbia,2,1,elo,0.408,0.2669,0.3252,0.52748,0.8966,1
2010,Australia,Serbia,2,1,form,0.372,0.2796,0.3484,0.59393,0.98886,1
2010,Australia,Serbia,2,1,tournament,0.3942,0.2717,0.3342,0.55252,0.93101,1
2010,Australia,Serbia,2,1,combined_default,0.3919,0.2725,0.3355,0.55662,0.93669,1
2010,Australia,Serbia,2,1,combined_optimized,0.3753,0.2785,0.3463,0.58775,0.98013,1
2010,Ghana,Germany,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Ghana,Germany,0,1,elo,0.1799,0.1991,0.621,0.21564,0.47642,1
2010,Ghana,Germany,0,1,form,0.1448,0.1827,0.6725,0.16165,0.39683,1
2010,Ghana,Germany,0,1,tournament,0.1312,0.176,0.6928,0.14254,0.36698,1
2010,Ghana,Germany,0,1,combined_default,0.1554,0.1876,0.657,0.17703,0.42013,1
2010,Ghana,Germany,0,1,combined_optimized,0.1428,0.1817,0.6754,0.15876,0.39238,1
2010,Slovenia,England,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Slovenia,England,0,1,elo,0.1362,0.1785,0.6853,0.14949,0.37797,1
2010,Slovenia,England,0,1,form,0.1037,0.1617,0.7346,0.1073,0.30837,1
2010,Slovenia,England,0,1,tournament,0.0584,0.1332,0.8084,0.05787,0.21272,1
2010,Slovenia,England,0,1,combined_default,0.1054,0.1613,0.7333,0.10824,0.31017,1
2010,Slovenia,England,0,1,combined_optimized,0.097,0.1575,0.7455,0.09899,0.29371,1
2010,United States,Algeria,1,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,United States,Algeria,1,0,elo,0.5861,0.2099,0.204,0.25699,0.53426,1
2010,United States,Algeria,1,0,form,0.5906,0.2086,0.2008,0.25143,0.52661,1
2010,United States,Algeria,1,0,tournament,0.5505,0.221,0.2285,0.30311,0.59694,1
2010,United States,Algeria,1,0,combined_default,0.5788,0.2122,0.209,0.26615,0.54684,1
2010,United States,Algeria,1,0,combined_optimized,0.5847,0.2104,0.2049,0.25872,0.53665,1
2010,Cameroon,Netherlands,1,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Cameroon,Netherlands,1,2,elo,0.1904,0.2039,0.6057,0.23332,0.50139,1
2010,Cameroon,Netherlands,1,2,form,0.144,0.1823,0.6736,0.1605,0.39506,1
